,縣市,地區,Longitude (經度),Latitude(緯度)
189,台南市,白河區,1202400,232100
190,台南市,鹽水區,1201600,231900
191,台南市,新營區,1201900,231900
192,台南市,東山區,1202400,231900
193,台南市,柳營區,1201800,231700
194,台南市,北門區,1200700,231600
195,台南市,學甲區,1201000,231400
196,台南市,下營區,1201500,231400
197,台南市,六甲區,1202100,231400
198,台南市,將軍區,1200800,231300
199,台南市,麻豆區,1201500,231100
200,台南市,官田區,1202000,231100
201,台南市,楠西區,1202900,231100
202,台南市,佳里區,1201000,231000
203,台南市,七股區,1200700,230800
204,台南市,西港區,1201200,230800
205,台南市,善化區,1201700,230800
206,台南市,玉井區,1202700,230800
207,台南市,安定區,1201400,230700
208,台南市,大內區,1202100,230700
209,台南市,山上區,1202100,230600
210,台南市,新市區,1201700,230500
211,台南市,安南區,1201100,230300
212,台南市,左鎮區,1202400,230300
213,台南市,南化區,1202800,230300
214,台南市,永康區,1201500,230200
215,台南市,新化區,1201800,230200
216,台南市,安平區,1200900,230000
217,台南市,仁德區,1201500,225800
218,台南市,歸仁區,1201700,225800
219,台南市,龍崎區,1202200,225800
220,台南市,關廟區,1201900,225800
221,高雄縣,桃源鄉,1204600,231000
222,高雄縣,甲仙鄉,1203500,230500
223,高雄縣,六龜鄉,1202700,230000
224,高雄縣,杉林鄉,1203200,225900
225,高雄縣,內門鄉,1202700,225600
226,高雄縣,茄萣鄉,1201000,225400
227,高雄縣,湖內鄉,1201200,225400
228,高雄縣,美濃鄉,1203200,225400
229,高雄縣,茂林鄉,1204000,225400
230,高雄縣,阿蓮鄉,1201900,225300
231,高雄縣,旗山鎮,1202800,225300
232,高雄縣,路竹鄉,1201500,225200
233,高雄縣,田寮鄉,1202500,225000
234,高雄縣,永安鄉,1201300,224900
235,高雄縣,岡山鎮,1201700,224800
236,高雄縣,燕巢鄉,1202100,224800
237,高雄縣,彌陀鄉,1201400,224700
238,高雄縣,梓官鄉,1201600,224600
239,高雄縣,橋頭鄉,1201900,224600
240,高雄市,楠梓區,1202000,224400
241,高雄縣,大社鄉,1202000,224400
242,高雄市,左營區,1201700,224200
243,高雄縣,,1202500,224200
244,高雄縣,仁武鄉,1202100,224200
245,高雄縣,大樹鄉,1202500,224200
246,高雄縣,鳥松鄉,1202100,224000
247,高雄市,,1201700,223800
248,高雄市,鼓山區,1201600,223800
249,高雄縣,鳳山市,1202100,223800
250,高雄市,旗津區,1201600,223700
251,高雄縣,大寮鄉,1202300,223700
252,高雄市,前鎮區,1201800,223600
253,高雄市,小港區,1202000,223400
254,高雄縣,林園鄉,1202300,223000
255,屏東縣,高樹鄉,1203500,225000
256,屏東縣,里港鄉,1202900,224700
257,屏東縣,鹽埔鄉,1203400,224500
258,屏東縣,霧台鄉,1204300,224500
259,屏東縣,九如鄉,1202900,224400
260,屏東縣,三地鄉,1203900,224300
261,屏東縣,長治鄉,1203100,224100
262,屏東縣,瑪家鄉,1203700,224100
263,屏東縣,屏東市,1202900,224000
264,屏東縣,麟洛鄉,1203100,223900
265,屏東縣,內埔鄉,1203400,223700
266,屏東縣,泰武鄉,1203800,223600
267,屏東縣,竹田鄉,1202200,223500
268,屏東縣,萬丹鄉,1202900,223500
269,屏東縣,萬巒鄉,1203300,223400
270,屏東縣,潮州鄉,1203200,223300
271,屏東縣,新園鄉,1202700,223200
272,屏東縣,崁頂鄉,1203000,223100
273,屏東縣,來義鄉,1203900,223100
274,屏東縣,南州鄉,1203000,223000
275,屏東縣,東港鎮,1202600,222800
276,屏東縣,新埤鄉,1203200,222800
277,屏東縣,林透鄉,1203000,222600
278,屏東縣,佳冬鄉,1203200,222500
279,屏東縣,琉球嶼,1202200,222200
280,屏東縣,枋寮鄉,1203500,222200
281,屏東縣,春日鄉,1203800,222200
282,屏東縣,枋山鄉,1203900,221600
283,屏東縣,獅子鄉,1204300,221200
284,屏東縣,牡丹鄉,1204600,220800
285,屏東縣,車城鄉,1204200,220400
286,屏東縣,滿州鄉,1205000,220200
287,屏東縣,恒春鎮,1204400,220000
288,台東縣,長濱鄉,1212700,231900
289,台東縣,池上鄉,1211200,230700
290,台東縣,成功鎮,1212200,230600
291,台東縣,海端鄉,1211000,230600
292,台東縣,關山鄉,1210900,230300
293,台東縣,東河鄉,1211800,225900
294,台東縣,延平鄉,1210500,225400
295,台東縣,鹿野鄉,1210700,225400
296,台東縣,卑南鄉,1210700,224700
297,台東縣,台東市,1210900,224500
298,台東縣,太麻里鄉,1210000,223700
299,台東縣,金峰鄉,1215700,223600
300,台東縣,達仁鄉,1215300,222700
301,台東縣,大武鄉,1215400,222100
302,台東縣,綠島,1212800,222500
303,台東縣,蘭嶼,1213300,222500
304,花蓮縣,秀林鄉,1213700,240700
305,花蓮縣,新城鄉,1213900,240200
306,花蓮縣,花蓮市,1213600,235900
307,花蓮縣,吉安鄉,1213400,235800
308,花蓮縣,壽豐鄉,1213000,235300
309,花蓮縣,鳳林鎮,1212700,234500
310,花蓮縣,萬榮鄉,1212300,234300
311,花蓮縣,光復鄉,1212500,233900
312,花蓮縣,豐濱鄉,1213100,233600
313,花蓮縣,瑞穗鄉,1212200,233100
314,花蓮縣,卓溪鄉,1211700,232100
315,花蓮縣,玉里鄉,1211800,232000
316,花蓮縣,富里鄉,1211400,231000
317,宜蘭縣,頭城鎮,1214900,245200
318,宜蘭縣,龜山島,1215600,245100
319,宜蘭縣,礁溪鄉,1214600,245000
320,宜蘭縣,宜蘭市,1214500,244600
321,宜蘭縣,員山鄉,1214300,244500
322,宜蘭縣,壯圍鄉,1214700,244500
323,宜蘭縣,羅東鎮,1214600,244100
324,宜蘭縣,五結鄉,1214700,244100
325,宜蘭縣,三星鄉,1213900,244000
326,宜蘭縣,冬山鄉,1214700,243800
327,宜蘭縣,大同鄉,1213100,243600
328,宜蘭縣,南澳鄉,1214800,242800
329,澎湖縣,白沙鄉,1193500,234000
330,澎湖縣,湖西鄉,1193900,233500
331,澎湖縣,馬公市,1193300,233400
332,澎湖縣,望安鄉,1193000,232200
333,澎湖縣,七美鄉,1192500,231200
334,連江縣,,1195300,261200
335,金門縣,,1182500,243000
